PAPEL,Ano,P/L,P/RECEITA (PSR),P/VP,DIVIDEND YIELD (DY),PAYOUT,MARGEM LÍQUIDA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO CIRC LIQ,VPA,LPA,GIRO ATIVOS,ROE,ROIC,ROA,DÍVIDA LÍQUIDA / EBITDA,DÍVIDA LÍQUIDA / EBIT,DÍVIDA BRUTA / PATRIMÔNIO,PATRIMÔNIO / ATIVOS,PASSIVOS / ATIVOS,LIQUIDEZ CORRENTE,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,Valor de mercado,Valor de firma,Patrimônio Líquido,Nº total de papeis,Ativos,Ativo Circulante,Dívida Bruta,Dívida Líquida,Disponibilidade,Segmento de Listagem,Free Float,Tag Along,Liquidez Média Diária,Setor,Segmento,Rentab_1M,Rentab_3M,Rentab_1A,Rentab_2A,Rentab_5A,Rentab_10A
MRFG,2020,3.77,0.18,5.96,"0,00%","0,00%","4,89%","17,37%","11,64%","13,70%",4.10,4.83,1.35,1.59,0.32,2.73,-0.59,2.44,3.85,1.71,"157,98%","24,52%","11,47%",2.75,3.24,13.16,0.05,0.91,1.33,"29,00%",-%,R$ 19.723.767.000,R$ 62.786.977.000,R$ 2.834.441.000,857.928.000,R$ 137.817.432.000,R$ 53.153.889.000,R$ 66.039.994.000,R$ 43.063.210.000,R$ 22.976.784.000,Novo Mercado,"33,58%","100,00%",R$ 113.381.000,Consumo não Cíclico,Carnes e Derivados,"1,55%","-7,48%","83,88%","265,00%","115,96%","513,11%"
BEEF,Atual,-3.66,0.07,2.17,-,-,"-1,91%","19,01%","7,07%","9,00%",4.33,5.51,0.78,0.99,0.07,0.45,-0.18,2.35,-1.39,1.00,"-59,34%","10,98%","-1,87%",3.55,4.52,18.71,0.03,0.95,1.34,"17,96%",-,R$ 3.242.893.000,R$ 17.407.793.000,R$ 1.427.622.000,607.283.000,R$ 44.477.422.000,R$ 27.410.025.000,R$ 26.712.856.000,R$ 14.164.900.000,R$ 12.547.956.000,Novo Mercado,"42,98%","100,00%",R$ 58.851.000,Consumo não Cíclico,Carnes e Derivados,"4,30%","5,74%","-30,74%","-49,91%","-50,14%","-34,89%"
BEEF,2024,-1.98,0.09,-6.46,"0,00%","0,00%","-4,58%","20,56%","7,13%","9,09%",6.04,7.71,1.00,1.27,0.07,0.39,-0.17,-0.79,-2.57,0.81,"-325,66%","8,00%","-3,71%",5.04,6.43,-62.85,-0.01,1.00,1.48,"14,75%",-%,R$ 3.242.893.000,R$ 17.407.793.000,R$ 1.427.622.000,607.283.000,R$ 44.477.422.000,R$ 27.410.025.000,R$ 26.712.856.000,R$ 14.164.900.000,R$ 12.547.956.000,Novo Mercado,"42,98%","100,00%",R$ 58.851.000,Consumo não Cíclico,Carnes e Derivados,"4,30%","5,74%","-30,74%","-49,91%","-50,14%","-34,89%"
BEEF,2023,10.77,0.17,26.01,"7,37%","79,46%","1,57%","20,50%","7,62%","9,53%",5.23,6.54,1.77,2.21,0.16,0.54,-0.43,0.29,0.69,0.94,"241,46%","9,18%","1,38%",3.46,4.33,123.62,0.006098,0.98,1.86,"10,65%",-%,R$ 3.242.893.000,R$ 17.407.793.000,R$ 1.427.622.000,607.283.000,R$ 44.477.422.000,R$ 27.410.025.000,R$ 26.712.856.000,R$ 14.164.900.000,R$ 12.547.956.000,Novo Mercado,"42,98%","100,00%",R$ 58.851.000,Consumo não Cíclico,Carnes e Derivados,"4,30%","5,74%","-30,74%","-49,91%","-50,14%","-34,89%"
BEEF,2022,12.06,0.25,15.53,"4,33%","52,26%","2,11%","18,52%","7,82%","9,16%",5.13,6.01,2.77,3.25,0.37,1.62,-0.94,0.83,1.07,1.45,"128,75%","15,11%","3,06%",2.36,2.76,27.16,0.02,0.95,1.60,"20,68%",-%,R$ 3.242.893.000,R$ 17.407.793.000,R$ 1.427.622.000,607.283.000,R$ 44.477.422.000,R$ 27.410.025.000,R$ 26.712.856.000,R$ 14.164.900.000,R$ 12.547.956.000,Novo Mercado,"42,98%","100,00%",R$ 58.851.000,Consumo não Cíclico,Carnes e Derivados,"4,30%","5,74%","-30,74%","-49,91%","-50,14%","-34,89%"
BEEF,2021,10.75,0.24,9.84,"10,18%","113,71%","2,22%","17,23%","7,55%","8,83%",5.26,6.16,2.70,3.16,0.32,0.99,-1.02,1.08,0.99,1.34,"91,55%","14,38%","2,98%",2.56,3.00,20.49,0.03,0.97,1.90,"22,82%","25,15%",R$ 3.242.893.000,R$ 17.407.793.000,R$ 1.427.622.000,607.283.000,R$ 44.477.422.000,R$ 27.410.025.000,R$ 26.712.856.000,R$ 14.164.900.000,R$ 12.547.956.000,Novo Mercado,"42,98%","100,00%",R$ 58.851.000,Consumo não Cíclico,Carnes e Derivados,"4,30%","5,74%","-30,74%","-49,91%","-50,14%","-34,89%"
BEEF,2020,8.87,0.32,7.36,"2,95%","22,46%","3,59%","19,76%","9,24%","10,84%",8.14,9.54,2.94,3.45,0.37,1.26,-1.10,1.38,1.15,1.15,"82,98%","13,89%","4,12%",5.20,6.10,13.78,0.05,0.95,1.76,"15,30%",-%,R$ 3.242.893.000,R$ 17.407.793.000,R$ 1.427.622.000,607.283.000,R$ 44.477.422.000,R$ 27.410.025.000,R$ 26.712.856.000,R$ 14.164.900.000,R$ 12.547.956.000,Novo Mercado,"42,98%","100,00%",R$ 58.851.000,Consumo não Cíclico,Carnes e Derivados,"4,30%","5,74%","-30,74%","-49,91%","-50,14%","-34,89%"
CAML,Atual,7.58,0.13,0.44,"6,59%","50,19%","1,70%","19,67%","5,12%","7,13%",6.33,8.80,1.81,2.51,0.13,0.73,-0.31,9.97,0.58,0.99,"5,86%","6,08%","1,68%",4.52,6.29,1.58,0.29,0.71,1.42,"10,05%","-15,07%",R$ 1.505.000.000,R$ 5.387.384.000,R$ 3.488.881.000,350.000.000,R$ 12.142.367.000,R$ 7.187.784.000,R$ 5.506.717.000,R$ 3.882.384.000,R$ 1.624.333.000,Novo Mercado,"27,08%","100,00%",R$ 5.382.000,Consumo não Cíclico,Alimentos Diversos,"-13,65%","-7,39%","-53,57%","-40,16%","-57,64%","0,00%"
CAML,2024,9.44,0.17,0.59,"5,01%","47,30%","1,77%","19,49%","5,23%","7,18%",5.71,7.84,2.33,3.19,0.18,0.84,-0.42,9.88,0.62,1.10,"6,28%","6,70%","1,95%",3.39,4.65,1.59,0.31,0.69,1.64,"17,84%","-1,96%",R$ 1.505.000.000,R$ 5.387.384.000,R$ 3.488.881.000,350.000.000,R$ 12.142.367.000,R$ 7.187.784.000,R$ 5.506.717.000,R$ 3.882.384.000,R$ 1.624.333.000,Novo Mercado,"27,08%","100,00%",R$ 5.382.000,Consumo não Cíclico,Alimentos Diversos,"-13,65%","-7,39%","-53,57%","-40,16%","-57,64%","0,00%"
CAML,2023,8.21,0.26,0.96,"3,41%","28,03%","3,20%","20,23%","5,80%","8,01%",6.56,9.07,3.28,4.54,0.28,0.87,-0.69,8.82,1.03,1.06,"11,67%","5,88%","3,39%",3.28,4.53,1.86,0.29,0.71,2.16,"19,60%","-0,11%",R$ 1.505.000.000,R$ 5.387.384.000,R$ 3.488.881.000,350.000.000,R$ 12.142.367.000,R$ 7.187.784.000,R$ 5.506.717.000,R$ 3.882.384.000,R$ 1.624.333.000,Novo Mercado,"27,08%","100,00%",R$ 5.382.000,Consumo não Cíclico,Alimentos Diversos,"-13,65%","-7,39%","-53,57%","-40,16%","-57,64%","0,00%"
CAML,2022,6.07,0.28,1.01,"4,41%","26,73%","4,64%","20,98%","8,22%","10,39%",5.57,7.04,2.71,3.42,0.34,1.23,-0.78,8.23,1.37,1.20,"16,60%","11,45%","5,59%",2.86,3.62,1.33,0.34,0.65,1.95,"16,62%","13,81%",R$ 1.505.000.000,R$ 5.387.384.000,R$ 3.488.881.000,350.000.000,R$ 12.142.367.000,R$ 7.187.784.000,R$ 5.506.717.000,R$ 3.882.384.000,R$ 1.624.333.000,Novo Mercado,"27,08%","100,00%",R$ 5.382.000,Consumo não Cíclico,Alimentos Diversos,"-13,65%","-7,39%","-53,57%","-40,16%","-57,64%","0,00%"
CAML,2021,8.61,0.44,1.47,"2,17%","22,81%","5,13%","20,22%","6,77%","8,59%",7.87,9.99,5.14,6.52,0.49,1.35,-1.34,7.74,1.32,1.11,"17,08%","8,61%","5,70%",2.73,3.47,1.38,0.33,0.65,2.35,"12,77%","18,08%",R$ 1.505.000.000,R$ 5.387.384.000,R$ 3.488.881.000,350.000.000,R$ 12.142.367.000,R$ 7.187.784.000,R$ 5.506.717.000,R$ 3.882.384.000,R$ 1.624.333.000,Novo Mercado,"27,08%","100,00%",R$ 5.382.000,Consumo não Cíclico,Alimentos Diversos,"-13,65%","-7,39%","-53,57%","-40,16%","-57,64%","0,00%"
CAML,2020,8.37,0.52,1.72,"5,27%","40,04%","6,20%","22,25%","8,33%","10,47%",5.70,7.16,4.96,6.23,0.81,2.66,-1.84,6.43,1.32,1.55,"20,57%","13,89%","9,62%",0.74,0.93,0.75,0.47,0.53,2.17,-%,-%,R$ 1.505.000.000,R$ 5.387.384.000,R$ 3.488.881.000,350.000.000,R$ 12.142.367.000,R$ 7.187.784.000,R$ 5.506.717.000,R$ 3.882.384.000,R$ 1.624.333.000,Novo Mercado,"27,08%","100,00%",R$ 5.382.000,Consumo não Cíclico,Alimentos Diversos,"-13,65%","-7,39%","-53,57%","-40,16%","-57,64%","0,00%"
MDIA,Atual,17.07,1.02,1.23,"2,00%","33,52%","5,97%","32,75%","7,11%","11,09%",8.93,13.95,9.19,14.35,0.79,2.97,-1.48,24.01,1.73,0.77,"7,21%","5,88%","4,62%",-0.26,-0.41,0.23,0.64,0.36,2.33,"6,26%","-5,13%",R$ 9.790.320.000,R$ 9.507.433.000,R$ 8.140.166.000,339.000.000,R$ 12.704.185.000,R$ 5.910.532.000,R$ 1.871.544.000,R$ -282.887.000,R$ 2.154.431.000,Novo Mercado,"19,58%","100,00%",R$ 15.025.000,Consumo não Cíclico,Alimentos Diversos,"16,78%","19,98%","1,66%","-29,42%","-10,80%","62,28%"
MDIA,2024,10.52,0.70,0.85,"1,20%","34,66%","6,68%","34,42%","8,58%","12,40%",5.86,8.46,5.67,8.20,0.53,2.08,-1.00,23.59,1.91,0.76,"8,08%","6,28%","5,06%",0.18,0.27,0.30,0.63,0.37,2.20,"9,62%","2,90%",R$ 9.790.320.000,R$ 9.507.433.000,R$ 8.140.166.000,339.000.000,R$ 12.704.185.000,R$ 5.910.532.000,R$ 1.871.544.000,R$ -282.887.000,R$ 2.154.431.000,Novo Mercado,"19,58%","100,00%",R$ 15.025.000,Consumo não Cíclico,Alimentos Diversos,"16,78%","19,98%","1,66%","-29,42%","-10,80%","62,28%"
MDIA,2023,14.74,1.21,1.72,"1,61%","7,63%","8,23%","33,09%","10,37%","13,29%",9.06,11.61,9.13,11.70,1.06,4.00,-1.97,22.43,2.62,0.87,"11,69%","10,96%","7,20%",-0.07,-0.09,0.29,0.62,0.38,2.35,"12,36%","4,20%",R$ 9.790.320.000,R$ 9.507.433.000,R$ 8.140.166.000,339.000.000,R$ 12.704.185.000,R$ 5.910.532.000,R$ 1.871.544.000,R$ -282.887.000,R$ 2.154.431.000,Novo Mercado,"19,58%","100,00%",R$ 15.025.000,Consumo não Cíclico,Alimentos Diversos,"16,78%","19,98%","1,66%","-29,42%","-10,80%","62,28%"
MDIA,2022,25.21,1.20,1.81,"5,43%","136,88%","4,76%","28,50%","5,76%","8,89%",15.23,23.51,13.49,20.83,1.06,5.04,-1.85,19.79,1.42,0.89,"7,18%","5,07%","4,21%",1.74,2.68,0.33,0.59,0.41,1.98,"13,34%","-10,61%",R$ 9.790.320.000,R$ 9.507.433.000,R$ 8.140.166.000,339.000.000,R$ 12.704.185.000,R$ 5.910.532.000,R$ 1.871.544.000,R$ -282.887.000,R$ 2.154.431.000,Novo Mercado,"19,58%","100,00%",R$ 15.025.000,Consumo não Cíclico,Alimentos Diversos,"16,78%","19,98%","1,66%","-29,42%","-10,80%","62,28%"
MDIA,2021,17.11,1.11,1.23,"0,78%","44,12%","6,46%","28,18%","5,08%","8,90%",12.71,22.26,12.43,21.77,0.81,2.78,-1.39,20.74,1.49,0.73,"7,18%","3,06%","4,74%",0.28,0.49,0.25,0.66,0.34,3.34,"7,96%","-8,43%",R$ 9.790.320.000,R$ 9.507.433.000,R$ 8.140.166.000,339.000.000,R$ 12.704.185.000,R$ 5.910.532.000,R$ 1.871.544.000,R$ -282.887.000,R$ 2.154.431.000,Novo Mercado,"19,58%","100,00%",R$ 15.025.000,Consumo não Cíclico,Alimentos Diversos,"16,78%","19,98%","1,66%","-29,42%","-10,80%","62,28%"
MDIA,2020,15.12,1.59,1.74,"1,34%","11,13%","10,53%","32,83%","9,85%","13,51%",12.15,16.66,11.78,16.16,1.19,5.16,-1.97,19.60,2.25,0.75,"11,49%","8,29%","7,85%",0.37,0.50,0.24,0.68,0.32,2.37,"9,43%","4,81%",R$ 9.790.320.000,R$ 9.507.433.000,R$ 8.140.166.000,339.000.000,R$ 12.704.185.000,R$ 5.910.532.000,R$ 1.871.544.000,R$ -282.887.000,R$ 2.154.431.000,Novo Mercado,"19,58%","100,00%",R$ 15.025.000,Consumo não Cíclico,Alimentos Diversos,"16,78%","19,98%","1,66%","-29,42%","-10,80%","62,28%"
NATU,Atual,-1.78,0.47,1.30,-,"-0,65%","-26,60%","65,60%","3,07%","5,64%",8.49,15.60,8.37,15.40,0.61,1.79,-1.89,6.82,-4.99,1.29,"-73,12%","6,46%","-34,43%",0.11,0.21,0.26,0.47,0.53,2.03,"-6,77%",-,R$ 11.483.101.000,R$ 11.649.980.000,R$ 9.460.154.000,1.386.848.000,R$ 20.092.267.000,R$ 13.576.947.000,R$ 2.433.651.000,R$ 166.879.000,R$ 2.266.772.000,Novo Mercado,"61,24%","100,00%",R$ 52.956.000,Consumo não Cíclico,Produtos de Uso Pessoal,"-12,93%","-18,34%","-41,69%","-46,76%","-82,57%","-20,42%"
NATU,2024,-1.98,0.65,1.13,"5,81%","-11,52%","-32,84%","64,80%","1,56%","5,12%",14.42,47.34,12.70,41.72,0.48,3.20,-0.80,11.30,-6.44,0.73,"-56,95%","-2,58%","-24,04%",1.71,5.62,0.44,0.42,0.58,1.58,"13,48%",-%,R$ 11.483.101.000,R$ 11.649.980.000,R$ 9.460.154.000,1.386.848.000,R$ 20.092.267.000,R$ 13.576.947.000,R$ 2.433.651.000,R$ 166.879.000,R$ 2.266.772.000,Novo Mercado,"61,24%","100,00%",R$ 52.956.000,Consumo não Cíclico,Produtos de Uso Pessoal,"-12,93%","-18,34%","-41,69%","-46,76%","-82,57%","-20,42%"
NATU,2023,7.88,0.88,1.01,"0,00%","0,00%","11,12%","63,81%","-0,58%","5,36%",15.18,-140.53,16.34,-151.27,0.55,4.20,-0.88,16.66,2.14,0.63,"12,87%","-0,83%","6,96%",-1.16,10.74,0.26,0.54,0.46,1.54,-%,-%,R$ 11.483.101.000,R$ 11.649.980.000,R$ 9.460.154.000,1.386.848.000,R$ 20.092.267.000,R$ 13.576.947.000,R$ 2.433.651.000,R$ 166.879.000,R$ 2.266.772.000,Novo Mercado,"61,24%","100,00%",R$ 52.956.000,Consumo não Cíclico,Produtos de Uso Pessoal,"-12,93%","-18,34%","-41,69%","-46,76%","-82,57%","-20,42%"
NATU,2022,-5.63,0.44,0.72,"1,13%","-6,39%","-7,87%","63,81%","-1,26%","4,82%",13.51,-51.77,9.18,-35.17,0.29,5.78,-0.42,16.10,-2.06,0.66,"-12,80%","-1,61%","-5,23%",4.33,-16.59,0.61,0.41,0.59,1.21,-%,-%,R$ 11.483.101.000,R$ 11.649.980.000,R$ 9.460.154.000,1.386.848.000,R$ 20.092.267.000,R$ 13.576.947.000,R$ 2.433.651.000,R$ 166.879.000,R$ 2.266.772.000,Novo Mercado,"61,24%","100,00%",R$ 52.956.000,Consumo não Cíclico,Produtos de Uso Pessoal,"-12,93%","-18,34%","-41,69%","-46,76%","-82,57%","-20,42%"
NATU,2021,33.65,0.88,1.23,"0,00%","0,00%","2,61%","65,11%","2,78%","9,73%",10.74,37.56,9.02,31.54,0.58,9.39,-0.82,20.60,0.76,0.66,"3,67%","0,17%","1,88%",1.72,6.02,0.45,0.47,0.53,1.27,-%,-%,R$ 11.483.101.000,R$ 11.649.980.000,R$ 9.460.154.000,1.386.848.000,R$ 20.092.267.000,R$ 13.576.947.000,R$ 2.433.651.000,R$ 166.879.000,R$ 2.266.772.000,Novo Mercado,"61,24%","100,00%",R$ 52.956.000,Consumo não Cíclico,Produtos de Uso Pessoal,"-12,93%","-18,34%","-41,69%","-46,76%","-82,57%","-20,42%"
NATU,2020,-111.98,1.97,2.66,"0,00%","-27,27%","-1,76%","64,17%","2,14%","9,25%",22.93,99.15,21.33,92.21,1.20,28.27,-1.73,19.75,-0.47,0.61,"-2,37%","1,25%","-1,09%",1.61,6.94,0.50,0.45,0.55,1.16,-%,-%,R$ 11.483.101.000,R$ 11.649.980.000,R$ 9.460.154.000,1.386.848.000,R$ 20.092.267.000,R$ 13.576.947.000,R$ 2.433.651.000,R$ 166.879.000,R$ 2.266.772.000,Novo Mercado,"61,24%","100,00%",R$ 52.956.000,Consumo não Cíclico,Produtos de Uso Pessoal,"-12,93%","-18,34%","-41,69%","-46,76%","-82,57%","-20,42%"
ASAI,Atual,15.09,0.18,2.49,"1,07%","15,73%","1,21%","16,67%","5,36%","7,59%",4.50,6.37,2.40,3.40,0.31,9.70,-0.48,4.14,0.68,1.72,"16,47%","17,94%","2,08%",2.10,2.97,2.96,0.13,0.87,1.11,"16,18%","-9,94%",R$ 13.278.062.000,R$ 25.418.062.000,R$ 5.599.000.000,1.352.144.000,R$ 44.303.000.000,R$ 15.053.000.000,R$ 16.599.000.000,R$ 12.140.000.000,R$ 4.459.000.000,Nível 1,"99,82%","100,00%",R$ 153.427.000,Consumo não Cíclico,Alimentos,"1,03%","0,20%","-6,84%","-25,71%","0,00%","0,00%"
ASAI,2024,9.90,0.10,1.45,"0,00%","0,00%","1,04%","16,56%","5,21%","7,43%",3.38,4.83,1.39,1.98,0.17,55.97,-0.26,3.89,0.57,1.62,"14,63%","16,86%","1,69%",1.99,2.85,3.15,0.12,0.88,1.01,"21,70%","-6,22%",R$ 13.278.062.000,R$ 25.418.062.000,R$ 5.599.000.000,1.352.144.000,R$ 44.303.000.000,R$ 15.053.000.000,R$ 16.599.000.000,R$ 12.140.000.000,R$ 4.459.000.000,Nível 1,"99,82%","100,00%",R$ 153.427.000,Consumo não Cíclico,Alimentos,"1,03%","0,20%","-6,84%","-25,71%","0,00%","0,00%"
ASAI,2023,25.77,0.28,3.95,"0,37%","16,58%","1,07%","16,30%","4,94%","7,16%",5.89,8.53,3.84,5.57,0.42,-10.11,-0.64,3.42,0.53,1.54,"15,33%","15,79%","1,64%",2.04,2.96,3.28,0.11,0.89,0.89,-%,-%,R$ 13.278.062.000,R$ 25.418.062.000,R$ 5.599.000.000,1.352.144.000,R$ 44.303.000.000,R$ 15.053.000.000,R$ 16.599.000.000,R$ 12.140.000.000,R$ 4.459.000.000,Nível 1,"99,82%","100,00%",R$ 153.427.000,Consumo não Cíclico,Alimentos,"1,03%","0,20%","-6,84%","-25,71%","0,00%","0,00%"
ASAI,2022,21.58,0.48,6.76,"0,83%","13,86%","2,24%","16,48%","5,23%","6,96%",10.25,13.66,6.94,9.24,0.65,-11.77,-1.00,2.88,0.90,1.34,"31,31%","16,59%","3,00%",3.32,4.42,3.23,0.10,0.90,0.86,-%,-%,R$ 13.278.062.000,R$ 25.418.062.000,R$ 5.599.000.000,1.352.144.000,R$ 44.303.000.000,R$ 15.053.000.000,R$ 16.599.000.000,R$ 12.140.000.000,R$ 4.459.000.000,Nível 1,"99,82%","100,00%",R$ 153.427.000,Consumo não Cíclico,Alimentos,"1,03%","0,20%","-6,84%","-25,71%","0,00%","0,00%"
ASAI,2021,10.88,0.42,6.34,"0,85%","9,27%","3,84%","17,05%","6,16%","7,85%",7.08,9.02,5.33,6.79,0.77,136.90,-1.24,2.05,1.19,1.83,"58,21%","21,73%","7,04%",1.75,2.23,2.89,0.12,0.88,1.01,-%,-%,R$ 13.278.062.000,R$ 25.418.062.000,R$ 5.599.000.000,1.352.144.000,R$ 44.303.000.000,R$ 15.053.000.000,R$ 16.599.000.000,R$ 12.140.000.000,R$ 4.459.000.000,Nível 1,"99,82%","100,00%",R$ 153.427.000,Consumo não Cíclico,Alimentos,"1,03%","0,20%","-6,84%","-25,71%","0,00%","0,00%"
ASAI,2020,0.00,0.00,0.00,"0,00%","0,00%","3,88%","16,41%","5,74%","10,56%",2.06,3.79,0.00,0.00,0.00,0.00,0.00,5.21,5.17,1.92,"99,15%","17,66%","8,27%",2.06,3.79,5.55,0.07,0.93,0.96,-%,-%,R$ 13.278.062.000,R$ 25.418.062.000,R$ 5.599.000.000,1.352.144.000,R$ 44.303.000.000,R$ 15.053.000.000,R$ 16.599.000.000,R$ 12.140.000.000,R$ 4.459.000.000,Nível 1,"99,82%","100,00%",R$ 153.427.000,Consumo não Cíclico,Alimentos,"1,03%","0,20%","-6,84%","-25,71%","0,00%","0,00%"
GMAT,Atual,11.04,0.46,1.53,"3,07%","30,25%","4,14%","22,93%","6,92%","8,04%",6.08,7.07,5.68,6.61,0.77,2.31,-1.82,4.62,0.64,1.68,"13,84%","17,33%","7,04%",0.40,0.46,0.21,0.50,0.49,2.34,"22,50%","14,59%",R$ 15.001.459.000,R$ 16.089.200.000,R$ 10.217.395.000,2.209.346.000,R$ 20.393.545.000,R$ 11.817.576.000,R$ 2.115.518.000,R$ 1.087.741.000,R$ 1.027.777.000,Novo Mercado,"21,00%","100,00%",R$ 27.294.000,Consumo não Cíclico,Produtos Diversos,"-11,93%","-10,66%","-12,62%","-3,44%","0,00%","0,00%"
GMAT,2024,10.71,0.44,1.43,"3,03%","32,45%","4,11%","22,63%","6,52%","7,69%",5.97,7.04,5.72,6.75,0.74,1.93,-2.02,4.46,0.60,1.69,"13,38%","15,73%","7,04%",0.25,0.29,0.23,0.52,0.47,2.56,-%,-%,R$ 15.001.459.000,R$ 16.089.200.000,R$ 10.217.395.000,2.209.346.000,R$ 20.393.545.000,R$ 11.817.576.000,R$ 2.115.518.000,R$ 1.087.741.000,R$ 1.027.777.000,Novo Mercado,"21,00%","100,00%",R$ 27.294.000,Consumo não Cíclico,Produtos Diversos,"-11,93%","-10,66%","-12,62%","-3,44%","0,00%","0,00%"
GMAT,2023,12.99,0.59,1.83,"0,00%","0,00%","4,56%","21,71%","6,28%","7,60%",9.00,10.89,7.79,9.43,0.97,2.59,-2.65,3.93,0.55,1.64,"14,08%","13,21%","7,55%",1.21,1.46,0.43,0.53,0.46,2.45,-%,-%,R$ 15.001.459.000,R$ 16.089.200.000,R$ 10.217.395.000,2.209.346.000,R$ 20.393.545.000,R$ 11.817.576.000,R$ 2.115.518.000,R$ 1.087.741.000,R$ 1.027.777.000,Novo Mercado,"21,00%","100,00%",R$ 27.294.000,Consumo não Cíclico,Produtos Diversos,"-11,93%","-10,66%","-12,62%","-3,44%","0,00%","0,00%"
GMAT,2022,13.27,0.64,1.87,"0,00%","0,00%","4,83%","22,05%","6,27%","7,78%",9.05,11.23,8.24,10.23,1.05,2.31,-3.13,3.37,0.48,1.64,"14,12%","12,63%","8,03%",0.81,1.01,0.42,0.56,0.43,3.20,-%,-%,R$ 15.001.459.000,R$ 16.089.200.000,R$ 10.217.395.000,2.209.346.000,R$ 20.393.545.000,R$ 11.817.576.000,R$ 2.115.518.000,R$ 1.087.741.000,R$ 1.027.777.000,Novo Mercado,"21,00%","100,00%",R$ 27.294.000,Consumo não Cíclico,Produtos Diversos,"-11,93%","-10,66%","-12,62%","-3,44%","0,00%","0,00%"
GMAT,2021,17.62,0.84,2.08,"0,00%","0,00%","4,76%","23,32%","5,77%","4,17%",23.15,16.72,20.14,14.54,1.34,2.88,-3.62,2.90,0.34,1.59,"11,81%","10,69%","7,72%",3.01,2.18,0.31,0.64,0.35,3.80,-%,-%,R$ 15.001.459.000,R$ 16.089.200.000,R$ 10.217.395.000,2.209.346.000,R$ 20.393.545.000,R$ 11.817.576.000,R$ 2.115.518.000,R$ 1.087.741.000,R$ 1.027.777.000,Novo Mercado,"21,00%","100,00%",R$ 27.294.000,Consumo não Cíclico,Produtos Diversos,"-11,93%","-10,66%","-12,62%","-3,44%","0,00%","0,00%"
GMAT,2020,25.45,1.49,9.59,"0,00%","0,00%","5,86%","24,13%","6,25%","0,00%",-,25.51,-,23.84,4.48,10.44,-13.77,0.87,0.33,3.01,"37,68%","24,03%","17,62%",-,1.67,0.67,0.47,0.53,2.75,-%,-%,R$ 15.001.459.000,R$ 16.089.200.000,R$ 10.217.395.000,2.209.346.000,R$ 20.393.545.000,R$ 11.817.576.000,R$ 2.115.518.000,R$ 1.087.741.000,R$ 1.027.777.000,Novo Mercado,"21,00%","100,00%",R$ 27.294.000,Consumo não Cíclico,Produtos Diversos,"-11,93%","-10,66%","-12,62%","-3,44%","0,00%","0,00%"
PCAR,Atual,-0.83,0.08,0.58,-,-,"-9,40%","27,44%","-1,00%","5,07%",4.23,-21.41,1.53,-7.74,0.08,-5.00,-0.11,5.21,-3.67,1.04,"-70,51%","-5,38%","-9,78%",2.70,-13.68,1.73,0.14,0.86,0.95,"-17,87%",-,R$ 1.548.959.000,R$ 4.174.959.000,R$ 2.553.000.000,490.177.000,R$ 18.363.000.000,R$ 5.218.000.000,R$ 4.411.000.000,R$ 2.626.000.000,R$ 1.785.000.000,Novo Mercado,"77,40%","100,00%",R$ 35.450.000,Consumo não Cíclico,Alimentos,"-12,71%","1,94%","-5,11%","-84,04%","-94,70%","0,00%"
PCAR,2024,-0.52,0.07,0.43,"0,00%","0,00%","-12,81%","27,53%","-2,32%","3,90%",3.62,-6.08,1.71,-2.87,0.06,-5.21,-0.09,5.97,-4.91,0.95,"-82,26%","-6,43%","-12,20%",1.91,-3.21,1.38,0.15,0.85,0.96,"-19,80%",-%,R$ 1.548.959.000,R$ 4.174.959.000,R$ 2.553.000.000,490.177.000,R$ 18.363.000.000,R$ 5.218.000.000,R$ 4.411.000.000,R$ 2.626.000.000,R$ 1.785.000.000,Novo Mercado,"77,40%","100,00%",R$ 35.450.000,Consumo não Cíclico,Alimentos,"-12,71%","1,94%","-5,11%","-84,04%","-94,70%","0,00%"
PCAR,2023,-0.94,0.10,0.42,"0,00%","0,00%","-11,01%","25,02%","3,52%","9,42%",1.94,5.19,1.10,2.94,0.09,1.53,-0.14,9.62,-4.32,0.87,"-44,92%","2,59%","-9,68%",0.84,2.25,1.12,0.21,0.79,1.21,"-17,17%",-%,R$ 1.548.959.000,R$ 4.174.959.000,R$ 2.553.000.000,490.177.000,R$ 18.363.000.000,R$ 5.218.000.000,R$ 4.411.000.000,R$ 2.626.000.000,R$ 1.785.000.000,Novo Mercado,"77,40%","100,00%",R$ 35.450.000,Consumo não Cíclico,Alimentos,"-12,71%","1,94%","-5,11%","-84,04%","-94,70%","0,00%"
